"","Theatre","Show","Type","Date","Year","Month","Avg_Attendance","Avg_Gross","Avg_Capacity"
"316","St. James","Swing!","Musical","3/19/00",2000,3,9873,456392,72
"317","New Amsterdam","The Lion King","Musical","3/19/00",2000,3,14520,937600,101
"318","Majestic","The Phantom Of The Opera","Musical","3/19/00",2000,3,12741,714757,99
"319","Virginia","The Wild Party","Musical","3/19/00",2000,3,6721,303565,78
"320","Circle In The Square","True West","Play","3/19/00",2000,3,4553,243063,90
"321","Eugene O'Neill","Waiting In The Wings","Play","3/19/00",2000,3,6830,271983,79
"322","Walter Kerr","A Moon For The Misbegotten 00","Play","3/26/00",2000,3,6128,301856,82
"323","Palace","Aida","Musical","3/26/00",2000,3,13429,618158,98
"324","Music Box","Amadeus","Play","3/26/00",2000,3,6215,253773,78
"325","Marquis","Annie Get Your Gun","Musical","3/26/00",2000,3,11238,650218,88
"326","Lunt-Fontanne","Beauty And The Beast","Musical","3/26/00",2000,3,11696,622840,99
"327","Studio 54 ('98)","Cabaret 98","Musical","3/26/00",2000,3,6896,463559,94
"328","Winter Garden","Cats","Musical","3/26/00",2000,3,11166,579052,94
"329","Shubert","Chicago","Musical","3/26/00",2000,3,8920,534060,76
"330","Vivian Beaumont","Contact","Musical","3/26/00",2000,3,8185,512657,96
"331","Royale","Copenhagen","Play","3/26/00",2000,3,4400,132256,82
"332","Booth","Dame Edna: The Royal Tour","Play","3/26/00",2000,3,5100,244377,83
"333","Richard Rodgers","Footloose","Musical","3/26/00",2000,3,9258,394582,86
